,CNPJ_CIA,DT_REFER,DENOM_CIA,CD_CVM,Acoes_ON,Acoes_PN,Tes_ON,Tes_PN,Total
0,00.000.000/0001-91,2011-03-31,BCO BRASIL S.A.,1023,2860729247.0,0.0,32.0,0.0,2860729247.0
1,00.000.000/0001-91,2011-06-30,BCO BRASIL S.A.,1023,2860729247.0,0.0,32.0,0.0,2860729247.0
2,00.000.000/0001-91,2011-09-30,BCO BRASIL S.A.,1023,2860729247.0,0.0,32.0,0.0,2860729247.0
3,00.000.000/0001-91,2011-12-31,BCO BRASIL S.A.,1023,2865416988.0,0.0,32.0,0.0,2865416988.0
4,00.000.000/0001-91,2012-03-31,BCO BRASIL S.A.,1023,2865416973.0,0.0,47.0,0.0,2865416973.0
5,00.000.000/0001-91,2012-06-30,BCO BRASIL S.A.,1023,2865416973.0,0.0,47.0,0.0,2865416973.0
6,00.000.000/0001-91,2012-09-30,BCO BRASIL S.A.,1023,2858171973.0,0.0,7245047.0,0.0,2858171973.0
7,00.000.000/0001-91,2012-12-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,20200047.0,0.0,2865417020.0
8,00.000.000/0001-91,2013-03-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,20200047.0,0.0,2865417020.0
9,00.000.000/0001-91,2013-06-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,26418028.0,0.0,2865417020.0
10,00.000.000/0001-91,2013-09-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,43723128.0,0.0,2865417020.0
11,00.000.000/0001-91,2013-12-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,56702328.0,0.0,2865417020.0
12,00.000.000/0001-91,2014-03-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,61699534.0,0.0,2865417020.0
13,00.000.000/0001-91,2014-06-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,66535220.0,0.0,2865417020.0
14,00.000.000/0001-91,2014-09-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,68241620.0,0.0,2865417020.0
15,00.000.000/0001-91,2014-12-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,68881576.0,0.0,2865417020.0
16,00.000.000/0001-91,2015-03-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,69250818.0,0.0,2865417020.0
17,00.000.000/0001-91,2015-06-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,69240496.0,0.0,2865417020.0
18,00.000.000/0001-91,2015-09-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,72864196.0,0.0,2865417020.0
19,00.000.000/0001-91,2015-12-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,72864196.0,0.0,2865417020.0
20,00.000.000/0001-91,2016-03-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,80666466.0,0.0,2865417020.0
21,00.000.000/0001-91,2016-06-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,80666466.0,0.0,2865417020.0
22,00.000.000/0001-91,2016-09-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,80666497.0,0.0,2865417020.0
23,00.000.000/0001-91,2016-12-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,80666497.0,0.0,2865417020.0
24,00.000.000/0001-91,2017-03-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,80555835.0,0.0,2865417020.0
25,00.000.000/0001-91,2017-06-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,80463476.0,0.0,2865417020.0
26,00.000.000/0001-91,2017-09-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,80463476.0,0.0,2865417020.0
27,00.000.000/0001-91,2017-12-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,80463476.0,0.0,2865417020.0
28,00.000.000/0001-91,2018-03-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,80193959.0,0.0,2865417020.0
29,00.000.000/0001-91,2018-06-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,80181562.0,0.0,2865417020.0
30,00.000.000/0001-91,2018-09-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,79886296.0,0.0,2865417020.0
31,00.000.000/0001-91,2018-12-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,79886296.0,0.0,2865417020.0
32,00.000.000/0001-91,2019-03-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,78944518.0,0.0,2865417020.0
33,00.000.000/0001-91,2019-06-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,78936493.0,0.0,2865417020.0
34,00.000.000/0001-91,2019-09-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,78151583.0,0.0,2865417020.0
35,00.000.000/0001-91,2019-12-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,14459169.0,0.0,2865417020.0
36,00.000.000/0001-91,2020-03-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,13248540.0,0.0,2865417020.0
37,00.000.000/0001-91,2020-06-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,13247103.0,0.0,2865417020.0
38,00.000.000/0001-91,2020-09-30,BCO BRASIL S.A.,1023,2865417020.0,0.0,12178134.0,0.0,2865417020.0
39,00.000.000/0001-91,2020-12-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,12175335.0,0.0,2865417020.0
40,00.000.000/0001-91,2021-03-31,BCO BRASIL S.A.,1023,2865417020.0,0.0,11975061.0,0.0,2865417020.0
